Nr,Success,Iteration,Total points,Tærskel,Minimum_inliers,Maximum_iterations,Found_inliers,Avg_Dist2,Time_spent,Added_outliers
312,True,21,599,5,280,200,299,0.30545324956838416,0.08291490000010526,300
313,True,35,599,5,280,200,294,0.642156902465077,0.13513740000053076,300
314,True,109,599,5,280,200,298,0.40971079947976696,0.4141572000007727,300
315,True,82,599,5,280,200,294,0.8982389477723888,0.3119692000000214,300
316,True,0,599,5,280,200,299,0.31314827192429945,0.004079899999851477,300
317,True,4,599,5,280,200,299,0.3840021156904482,0.018901699999332777,300
318,True,61,599,5,280,200,290,0.594850936402065,0.23273690000132774,300
319,True,27,599,5,280,200,299,0.07582359861067399,0.105185899999924,300
320,True,42,599,5,280,200,299,0.3789310653646853,0.16162450000047102,300
321,True,41,599,5,280,200,299,0.683602880418361,0.15891889999875275,300
322,True,26,599,5,280,200,298,0.5091689090963146,0.10200389999954496,300
323,True,24,599,5,280,200,299,0.07913041077248102,0.09604229999968084,300
324,True,19,599,5,280,200,299,0.06513958879023644,0.07696719999876223,300
325,True,36,599,5,280,200,298,0.6355009127998872,0.14008619999913208,300
326,True,6,599,5,280,200,299,0.14007859087925517,0.02651240000159305,300
327,True,49,599,5,280,200,299,0.1873904881444848,0.1884684999986348,300
328,True,99,599,5,280,200,299,0.12499869916200247,0.3766587999998592,300
329,True,9,599,5,280,200,299,0.45252824132554803,0.037846300001547206,300
330,True,60,599,5,280,200,299,0.3805074881335754,0.23062530000061088,300
331,True,12,599,5,280,200,299,0.29605755219099494,0.05026029999862658,300
332,True,69,599,5,280,200,296,0.4790894717738118,0.2653453000002628,300
333,True,7,599,5,280,200,299,0.3327663579987361,0.032540800000788295,300
334,True,10,599,5,280,200,298,0.5928503638151915,0.04229490000034275,300
335,True,60,599,5,280,200,299,0.09685754496762405,0.23467170000003534,300
336,True,2,599,5,280,200,282,0.8250586407401864,0.011502899998959037,300
337,True,6,599,5,280,200,291,0.50189279201169,0.026574100000289036,300
338,True,53,599,5,280,200,299,0.19561552652584543,0.20446409999931348,300
339,True,71,599,5,280,200,297,0.4213106437065952,0.27508750000015425,300
340,True,0,599,5,280,200,298,0.6121975186947712,0.004116099999009748,300
341,True,14,599,5,280,200,299,0.10328705676630419,0.056595300000481075,300
342,True,3,599,5,280,200,299,0.381352151558864,0.015311099999962607,300
343,True,14,599,5,280,200,289,0.7616581094145015,0.05668540000078792,300
344,True,6,599,5,280,200,299,0.20527285969017373,0.026743000000351458,300
345,True,10,599,5,280,200,299,0.12488807923866457,0.04148480000003474,300
346,True,9,599,5,280,200,282,0.6396461431352629,0.03825010000036855,300
347,True,55,599,5,280,200,299,0.2640821598236049,0.21133150000059686,300
348,True,54,599,5,280,200,285,0.41273487893173644,0.20792199999959848,300
349,True,53,599,5,280,200,283,1.0258418372233522,0.20597270000143908,300
350,True,44,599,5,280,200,283,0.8742725149316782,0.16818770000099903,300
351,True,3,599,5,280,200,293,0.33963492614348695,0.015382200001113233,300
352,True,170,599,5,280,200,299,0.3577231517317541,0.6433092999996006,300
353,True,27,599,5,280,200,291,0.901218197005985,0.10578549999991083,300
354,True,10,599,5,280,200,299,0.22654053749574182,0.042274600000382634,300
355,True,6,599,5,280,200,281,0.9702399081993268,0.0271974000006594,300
356,True,63,599,5,280,200,299,0.1656948578213908,0.24074749999999767,300
357,True,29,599,5,280,200,298,0.32992630426087,0.11368899999979476,300
358,True,83,599,5,280,200,299,0.5153452476750702,0.3175816000002669,300
359,True,5,599,5,280,200,299,0.11751698834453321,0.022487700000056066,300
360,True,25,599,5,280,200,299,0.12964246397123894,0.09763079999902402,300
361,True,18,599,5,280,200,299,0.32988157806872426,0.07205919999978505,300
362,True,19,599,5,280,200,281,0.7280714984091258,0.0762271999992663,300
363,True,51,599,5,280,200,282,0.6778758073579157,0.19844510000075388,300
364,True,63,599,5,280,200,284,0.7609634349933031,0.23921949999930803,300
365,True,69,599,5,280,200,296,0.5714400832496718,0.263057199999821,300
366,True,70,599,5,280,200,299,0.10365367364614092,0.26728950000142504,300
367,True,77,599,5,280,200,299,0.1582269755409796,0.2961362000005465,300
368,True,67,599,5,280,200,299,0.21134306806823577,0.2548709000002418,300
369,True,57,599,5,280,200,299,0.18543664959841782,0.21853829999963637,300
370,True,15,599,5,280,200,297,0.3003911266349449,0.060016400000677095,300
371,True,22,599,5,280,200,299,0.2742277695320295,0.08631290000084846,300
372,True,11,599,5,280,200,299,0.1344797174321174,0.04483129999971425,300
373,True,102,599,5,280,200,299,0.06881027649994535,0.3906566000005114,300
374,True,95,599,5,280,200,298,0.31785539178640104,0.3597306000010576,300
